timestamp,open,high,low,close,adjusted close,volume,dividend amount
2016-06-10,153.0900,154.0900,151.8600,152.3700,98.8989,14920842,0.0000
2016-06-03,152.5600,153.8100,151.5400,152.8900,99.2365,13470239,0.0000
2016-05-27,147.6100,152.9300,146.6600,152.8400,99.2040,14910875,0.0000
2016-05-20,147.6500,149.9900,143.9550,147.2500,95.5757,16406443,0.0000
2016-05-13,147.7000,151.0900,147.0100,147.7200,95.8808,17034303,0.0000
2016-05-06,146.5600,147.9700,142.9000,147.2900,95.6017,21059912,1.4000
2016-04-29,148.1600,150.7800,144.1910,145.9400,93.8335,16956550,0.0000
2016-04-22,151.7500,153.1400,142.6100,148.5000,95.4795,37688644,0.0000
2016-04-15,150.2600,152.7600,148.5800,151.7200,97.5498,17443203,0.0000
2016-04-08,152.3400,153.5200,147.8100,149.3500,96.0260,18417556,0.0000
2016-04-01,147.7500,153.1000,147.2300,152.5200,98.0642,20439783,0.0000
2016-03-24,147.3000,149.2800,144.4900,147.9500,95.1259,17611709,0.0000
2016-03-18,142.0100,147.5100,141.0400,147.0900,94.5729,29886417,0.0000
2016-03-11,137.2800,142.9236,136.8718,142.3600,91.5317,23556160,0.0000
2016-03-04,132.0000,139.4200,130.9000,137.8000,88.5998,22557187,0.0000
2016-02-26,133.8400,134.9200,129.6800,132.0300,84.8900,20763400,0.0000
2016-02-19,121.8300,134.0000,121.3400,133.0800,85.5651,23958762,0.0000
2016-02-12,126.0000,127.5100,116.9010,121.0400,77.8238,32025579,1.3000
2016-02-05,124.4000,128.6400,122.2900,128.5700,81.8276,25527891,0.0000
2016-01-29,122.1000,124.7900,120.6500,124.7900,79.4218,27278749,0.0000
2016-01-22,130.1100,132.1000,118.0000,122.5000,77.9644,44203492,0.0000
2016-01-15,131.8100,134.2799,128.8700,130.0300,82.7568,29470082,0.0000
2016-01-08,135.6000,136.8900,131.3200,131.6300,83.7751,25251873,0.0000
2015-12-31,137.7400,140.4400,136.5400,137.6200,87.5874,13538507,0.0000
2015-12-24,135.8300,139.3050,134.0200,138.2500,87.9884,16540309,0.0000
2015-12-18,135.3100,139.6500,134.0200,134.9000,85.8563,27823388,0.0000
2015-12-11,140.1600,140.4100,133.9100,134.5700,85.6462,21354563,0.0000
2015-12-04,138.6100,141.4000,137.9900,140.4300,89.3758,22935841,0.0000
2015-11-27,138.5300,139.3400,137.1200,138.4600,88.1220,13199481,0.0000
2015-11-20,131.7900,138.9150,131.7900,138.5000,88.1475,21083793,0.0000
2015-11-13,137.9200,138.0800,131.6500,131.7500,83.8515,25069755,0.0000
2015-11-06,140.5000,142.8000,137.8700,138.2500,87.9884,21526383,1.3000
2015-10-30,144.7500,145.0000,137.3300,140.0800,88.3225,34698762,0.0000
2015-10-23,149.8500,149.9700,139.3000,144.6800,91.2229,42068316,0.0000
2015-10-16,152.4000,152.5800,148.5800,150.3900,94.8231,17455488,0.0000
2015-10-09,145.8200,153.1470,145.8200,152.3900,96.0842,19465122,0.0000
2015-10-02,144.4200,145.7100,140.5600,144.5800,91.1598,19914471,0.0000
2015-09-25,145.3900,146.9800,141.9500,145.4200,91.6895,16815584,0.0000
2015-09-18,147.3700,149.6800,143.9800,144.5100,91.1157,20721826,0.0000
2015-09-11,145.8600,149.0400,144.5100,147.3700,92.9190,13916382,0.0000
2015-09-04,147.2600,148.4000,141.8500,143.7000,90.6050,21421138,0.0000
2015-08-28,143.4700,148.9700,140.6200,147.9800,93.3036,32508092,0.0000
2015-08-21,155.2000,156.6900,148.7000,148.8500,93.8521,19846207,0.0000
2015-08-14,156.7700,157.4652,153.9500,155.7500,98.2027,17165086,0.0000
2015-08-07,161.7000,161.8500,154.3350,155.1200,97.8055,20138504,1.3000
2015-07-31,159.0000,162.0600,158.5000,161.9900,101.2947,15380412,0.0000
2015-07-24,172.7900,173.7800,159.4100,159.7500,99.8940,37075256,0.0000
2015-07-17,167.9300,172.5200,167.5200,172.5100,107.8730,17138495,0.0000
2015-07-10,163.8300,167.4000,162.2317,166.9500,104.3963,18143986,0.0000
2015-07-02,163.9200,165.6100,162.1200,165.0900,103.2332,12979210,0.0000
2015-06-26,167.6500,169.9700,165.2300,165.4600,103.4646,20939777,0.0000
2015-06-19,165.3300,168.7200,164.2500,166.9900,104.4213,20761376,0.0000
2015-06-12,167.1700,170.4400,163.3700,166.9900,104.4213,18364270,0.0000
2015-06-05,170.2100,171.5601,167.2000,167.4000,104.6777,13868111,0.0000
2015-05-29,172.1100,172.4800,169.1300,169.6500,106.0846,12435919,0.0000
2015-05-22,173.4400,174.4400,171.9300,172.2200,107.6917,11939607,0.0000
2015-05-15,172.6500,174.4100,168.8400,173.2600,108.3420,13435074,0.0000
2015-05-08,174.4700,176.3000,168.8600,172.6800,107.9793,16793441,1.3000
2015-05-01,170.8900,175.1303,170.0200,173.6700,107.7745,21874751,0.0000
2015-04-24,162.1000,171.9100,161.9000,169.7800,105.3604,35436301,0.0000
2015-04-17,162.3700,164.9600,160.0300,160.6700,99.7071,17532781,0.0000
2015-04-10,159.6900,163.8400,158.7020,162.8600,101.0661,13917063,0.0000
2015-04-02,161.3100,163.6000,158.3900,160.4500,99.5705,16765545,0.0000
2015-03-27,162.7700,165.3500,158.9100,160.4000,99.5395,23569213,0.0000
2015-03-20,155.0500,163.0000,154.8000,162.8800,101.0785,25684872,0.0000
2015-03-13,158.2000,161.1500,153.4000,154.2800,95.7416,26135448,0.0000
2015-03-06,161.6800,161.8900,158.0600,158.5000,98.3604,21117049,0.0000
2015-02-27,164.2300,164.9900,159.7700,161.9400,100.4952,22941227,0.0000
2015-02-20,159.7500,164.4900,159.7300,163.6500,101.5564,14108892,0.0000
2015-02-13,156.0000,160.8000,155.0800,160.4000,99.5395,18164756,0.0000
2015-02-06,154.0000,158.7100,151.5100,156.7200,97.2558,22439830,1.1000
2015-01-30,158.2600,159.4600,149.5200,153.3100,94.4765,32927307,0.0000
2015-01-23,156.7000,157.6000,151.0700,155.8700,96.0541,31230797,0.0000
2015-01-16,159.0000,159.9700,153.7400,157.1400,96.8368,23272056,0.0000
2015-01-09,161.2700,161.2700,154.0300,159.1100,98.0508,24440360,0.0000
2015-01-02,162.0000,163.3100,159.4500,162.0600,99.8687,15698987,0.0000
2014-12-26,158.3300,163.0900,158.3300,162.3400,100.0412,12508916,0.0000
2014-12-19,155.9300,160.4100,150.5000,158.5100,97.6810,34588770,0.0000
2014-12-12,163.2900,163.3300,155.3300,155.3800,95.7522,23397756,0.0000
2014-12-05,161.6400,164.5200,161.3500,163.2700,100.6143,20945441,0.0000
2014-11-28,161.5400,163.8600,161.0100,162.1700,99.9365,17053892,0.0000
2014-11-21,164.1600,164.9700,159.8000,160.9200,99.1662,22273217,0.0000
2014-11-14,161.9000,164.4900,161.6100,164.1600,101.1628,20088151,0.0000
2014-11-07,164.2500,164.5400,160.0500,162.0700,99.8748,20603321,1.1000
2014-10-31,162.0000,165.5900,161.8000,164.4000,100.6252,27342119,0.0000
2014-10-24,166.8450,170.3310,161.1000,162.0800,99.2051,69701346,0.0000
2014-10-17,185.4900,186.6500,178.6900,182.0500,111.4283,24355568,0.0000
2014-10-10,189.6900,190.8900,185.1000,185.9300,113.8031,15795271,0.0000
2014-10-03,188.5100,190.8500,186.2400,188.6700,115.4802,14352364,0.0000
2014-09-26,193.7200,194.1400,188.6100,190.0600,116.3310,16209901,0.0000
2014-09-19,191.4200,195.0000,190.5800,194.0000,118.7426,20044000,0.0000
2014-09-12,190.7500,192.7800,189.5100,191.2800,117.0777,12878100,0.0000
2014-09-05,192.6800,192.9700,190.0600,191.2000,117.0288,9627700,0.0000
2014-08-29,191.3900,194.1330,190.6600,192.3000,117.7020,11487700,0.0000
2014-08-22,188.1000,192.0700,187.7600,190.4100,116.5452,11074800,0.0000
2014-08-15,187.8100,188.8800,186.2800,187.3800,114.6906,10927100,0.0000
2014-08-08,189.3500,189.9500,183.5800,186.6300,114.2316,14770900,1.1000
2014-08-01,194.3000,196.4000,188.8600,189.1500,115.0932,19838900,0.0000
2014-07-25,191.3000,195.9000,189.2500,194.4000,118.2877,19580700,0.0000
2014-07-18,188.5500,195.9500,188.2100,192.5000,117.1316,34217100,0.0000
2014-07-11,187.6100,188.9000,186.2100,188.0000,114.3935,14983700,0.0000
2014-07-03,181.3300,188.9900,180.2600,188.5300,114.7160,18382300,0.0000
2014-06-27,181.9200,183.0000,179.2700,181.7100,110.5662,17703900,0.0000
2014-06-20,182.4000,184.4700,181.2350,181.5500,110.4688,24186800,0.0000
2014-06-13,186.2200,187.6400,180.9100,182.5600,111.0834,18143900,0.0000
2014-06-06,184.7600,187.6500,183.9200,186.3700,113.4017,14243300,0.0000
2014-05-30,184.8000,185.6500,182.3300,184.3600,112.1786,15895800,0.0000
2014-05-23,186.6100,187.1600,184.7000,185.9400,113.1400,14066100,0.0000
2014-05-16,191.1200,193.0300,185.9300,187.0600,113.8215,19407200,0.0000
2014-05-09,191.0500,191.4900,186.9300,190.0800,115.6591,13925300,1.1000
2014-05-02,191.1400,196.8600,190.5800,191.4400,115.8137,21195300,0.0000
2014-04-25,189.8000,193.0000,189.1100,189.6300,114.7187,22312800,0.0000
2014-04-17,196.2400,198.7100,187.0100,190.0100,114.9486,30565200,0.0000
2014-04-11,191.7200,199.2100,191.5700,195.1900,118.0823,30598500,0.0000
2014-04-04,191.6400,195.1300,191.2800,191.7700,116.0133,29036500,0.0000
2014-03-28,187.4300,195.6300,187.3700,190.4500,115.2148,35465000,0.0000
2014-03-21,182.6600,188.7000,182.6600,186.6700,112.9280,30821100,0.0000
2014-03-14,187.5500,188.4500,182.2100,182.2100,110.2299,24057200,0.0000
2014-03-07,183.3300,188.9200,182.8200,187.6800,113.5390,20103400,0.0000
2014-02-28,182.8200,186.1200,182.8200,185.1700,112.0206,20734000,0.0000
2014-02-21,183.1800,185.7100,182.3200,182.7900,110.5808,19774200,0.0000
2014-02-14,176.9700,184.4300,176.2500,183.6900,111.1252,21312600,0.0000
2014-02-07,176.0200,177.5600,172.1900,177.2500,107.2293,25234000,0.9500
2014-01-31,179.6050,179.6500,175.3400,176.6800,106.3063,25559900,0.0000
2014-01-24,190.2300,190.3900,179.6400,179.6400,108.0873,38736900,0.0000
2014-01-17,186.2600,190.8100,183.8600,190.0900,114.3749,27635300,0.0000
2014-01-10,187.1500,190.3500,185.3000,187.2600,112.6721,22947500,0.0000
2014-01-03,185.3200,187.7900,184.6700,186.6400,112.2991,15248000,0.0000
2013-12-27,181.0500,186.5000,180.6100,185.0800,111.3605,12400800,0.0000
2013-12-20,173.2200,182.0000,172.7300,180.0200,108.3159,32267100,0.0000
2013-12-13,177.9900,178.1520,172.7300,172.8000,103.9717,21870800,0.0000
2013-12-06,179.4600,179.5900,175.1600,177.6700,106.9019,24816100,0.0000
2013-11-29,180.2500,180.7600,177.3100,179.6800,108.1113,20384900,0.0000
2013-11-22,183.5200,186.2400,179.9200,181.3000,109.0861,25637400,0.0000
2013-11-15,180.1900,184.0487,179.6600,183.1900,110.2233,25682800,0.0000
2013-11-08,179.9000,181.3900,177.3500,179.9900,108.2979,25635300,0.9500
2013-11-01,177.0400,182.3200,176.2000,179.2300,107.2719,25853600,0.0000
2013-10-25,174.4200,179.1000,172.6301,176.8500,105.8474,29861500,0.0000
2013-10-18,185.4100,186.9900,172.5700,173.7800,104.0100,45663100,0.0000
2013-10-11,181.8500,186.2300,178.7100,186.1600,111.4196,20859700,0.0000
2013-10-04,185.5600,186.7400,183.0000,184.1000,110.1866,16351900,0.0000
2013-09-27,190.0600,192.4100,186.4500,186.9200,111.8744,15079700,0.0000
2013-09-20,193.7000,194.8900,190.0200,190.0200,113.7298,22379100,0.0000
2013-09-13,183.6800,193.1000,183.3100,192.1700,115.0166,18194900,0.0000
2013-09-06,183.6300,185.0000,182.3100,183.0300,109.5462,11856200,0.0000
2013-08-30,185.2700,187.0000,181.1000,182.2700,109.0913,15052200,0.0000
2013-08-23,185.3000,186.5700,183.1685,185.4200,110.9767,14564700,0.0000
2013-08-16,186.9700,189.9900,185.3400,185.3400,110.9288,16580500,0.0000
2013-08-09,195.1600,195.8800,186.7900,187.8200,112.4131,20128300,0.9500
2013-08-02,196.8300,197.8300,193.2215,195.1600,116.2207,15338600,0.0000
2013-07-26,193.4000,197.8300,193.2804,197.3500,117.5248,14719100,0.0000
2013-07-19,192.4200,200.9400,191.6800,193.5400,115.2559,31679400,0.0000
2013-07-12,195.6000,195.7800,190.7800,192.0700,114.3805,20715900,0.0000
2013-07-05,192.1500,195.1600,190.2600,194.9300,116.0837,12378100,0.0000
2013-06-28,193.9900,196.9000,188.4100,191.1100,113.8088,25092600,0.0000
2013-06-21,203.4400,206.0900,193.5401,195.4600,116.3993,22773400,0.0000
2013-06-14,206.9700,206.9800,200.3400,202.2000,120.4131,14580500,0.0000
2013-06-07,208.2500,210.0500,201.4700,206.3500,122.8845,17768500,0.0000
2013-05-31,207.4400,211.9800,206.0400,208.0200,123.8790,16799600,0.0000
2013-05-24,208.0200,210.1500,204.4200,205.7200,122.5093,20259100,0.0000
2013-05-17,204.1800,209.5000,202.0400,208.4400,124.1291,21587300,0.0000
2013-05-10,203.7900,205.0000,201.5200,204.4700,121.7649,18700700,0.9500
2013-05-03,194.7800,205.3190,194.6500,204.5100,121.2265,26809200,0.0000
2013-04-26,191.1500,195.1700,187.6800,194.3100,115.1802,27976600,0.0000
2013-04-19,210.4400,212.0000,189.7600,190.0000,112.6254,35696400,0.0000
2013-04-12,209.0700,213.0900,207.3300,211.3800,125.2987,15273700,0.0000
2013-04-05,212.8000,214.8900,206.3400,209.4100,124.1310,16247600,0.0000
2013-03-28,212.5400,213.4400,209.7350,213.3000,126.4369,12516100,0.0000
2013-03-22,212.9000,215.8200,210.1100,212.0800,125.7137,18085500,0.0000
2013-03-15,210.0400,215.9000,209.0400,214.9200,127.3971,23433000,0.0000
2013-03-08,202.5900,210.7400,202.5500,210.3800,124.7060,18680900,0.0000
2013-03-01,201.6700,203.1230,197.5100,202.9100,120.2780,19419000,0.0000
2013-02-22,200.6000,201.8900,198.1100,201.0900,119.1992,13744500,0.0000
2013-02-15,200.9800,201.9500,199.0200,200.9800,119.1340,14498300,0.0000
2013-02-08,204.1900,205.0200,198.6800,201.6800,119.5489,16419900,0.8500
2013-02-01,204.8500,206.2200,202.9600,205.1800,121.1115,15901300,0.0000
2013-01-25,194.3600,208.5800,194.0100,204.9700,120.9875,27508900,0.0000
2013-01-18,192.8200,195.0000,190.3900,194.4700,114.7897,19748400,0.0000
2013-01-11,193.4000,195.0000,191.2800,194.4500,114.7779,16589700,0.0000
2013-01-04,189.2300,196.3500,188.8400,193.9900,114.5064,15943900,0.0000
2012-12-28,193.0500,193.8300,189.8300,189.8300,112.0509,11911900,0.0000
2012-12-21,191.7600,196.4500,191.5700,193.4200,114.1699,24598600,0.0000
2012-12-14,192.1700,194.8000,191.2600,191.7600,113.1901,19274500,0.0000
2012-12-07,190.7600,192.2000,186.9400,191.9500,113.3022,18850300,0.0000
2012-11-30,192.4500,193.3700,189.2700,190.0700,112.1925,21119100,0.0000
2012-11-23,188.6200,193.4900,188.2500,193.4900,114.2112,15826300,0.0000
2012-11-16,190.0300,190.8800,184.7800,186.9400,110.3450,18951000,0.0000
2012-11-09,192.3600,196.7500,188.8800,189.6400,111.9387,17977200,0.8500
2012-11-02,194.8000,198.0000,193.2900,193.4300,113.6704,14071200,0.0000
2012-10-26,193.7100,194.6800,190.5600,193.2700,113.5764,19824000,0.0000
2012-10-19,208.8800,211.0000,193.1800,193.3600,113.6293,37283100,0.0000
2012-10-12,210.0200,210.7400,205.0500,207.8000,122.1150,15209500,0.0000
2012-10-05,208.0100,211.7900,207.9400,210.5900,123.7546,17786100,0.0000
2012-09-28,205.0200,208.3200,203.9000,207.4500,121.9093,17962400,0.0000
2012-09-21,205.5500,207.9900,205.3000,205.9800,121.0455,24867400,0.0000
2012-09-14,199.3900,207.6500,198.7300,206.8100,121.5332,19339300,0.0000
2012-09-07,196.6100,199.5000,193.2500,199.5000,117.2375,15172300,0.0000
2012-08-31,197.9600,198.3000,193.1800,194.8500,114.5049,13113600,0.0000
2012-08-24,200.6900,201.1300,194.2000,197.7700,116.2208,14140300,0.0000
2012-08-17,198.8800,202.0000,197.7200,201.2200,118.2482,12373700,0.0000
2012-08-10,198.7600,200.8800,197.2400,199.2900,117.1141,12376100,0.8500
2012-08-03,196.3200,198.9500,193.0200,198.5200,116.1654,14944000,0.0000
2012-07-27,189.7800,197.4100,188.2000,196.3900,114.9191,18795600,0.0000
2012-07-20,185.5800,196.8500,183.2000,192.4500,112.6135,31507600,0.0000
2012-07-13,190.7600,191.1400,181.8500,186.0100,108.8451,22998800,0.0000
2012-07-06,196.3600,197.2000,189.7400,191.4100,112.0050,11920500,0.0000
2012-06-29,192.4800,195.8100,188.9000,195.5800,114.4451,18637100,0.0000
2012-06-22,197.5700,199.9900,193.1900,193.7000,113.3450,23194300,0.0000
2012-06-15,196.6000,199.2700,192.1400,199.1000,116.5048,19518700,0.0000
